Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Shows genuine concern for team members,Seeks input from team members,"Responds in a timely manner (emails, phone calls, etc.)","Treats people fairly, without showing favoritism",Protects confidentiality,Recognizes and rewards my individual contributions in a manner meaningful to me,"Supports a team environment by recognizing and rewarding collaboration, cooperation and activities contributing to others' success",Considers the impact of actions and decisions on others before implementing,Encourages others to express different ideas and perspectives,Is open to other perspectives and is willing to change their position when presented with compelling information,Open to negative and/or constructive feedback,Gives open and constructive feedback,Shows respect for others and their ideas,Lets me know how I am doing,Involves me in decision-making when appropriate,Sets a clear direction for our department/organization,Provides clear and consistent direction to me when I ask for guidance,"Encourages and supports my involvement in training and development activities, company activities and events",Allows for flexibility in how work is accomplished,Actions and behaviors are consistent with words,Is trustworthy,Creates an atmosphere of mutual trust,"Demonstrates honest, ethical behavior at all times",Is a role model for continuous improvement,Supports a customer service approach for both internal and external customers,Deals with issues that need to be addressed,"Provides a clear sense of purpose and direction, roles and responsibilities, for me individually and for our group team members",Communicates a clear vision with recognizable goals for the organization and staff,States expectations clearly and confirms understanding,Expects staff to be accountable and offers support,Translates organizational goals practically and meaningfully for staff at all levels of the organization,Makes and communicates decisions promptly,Involves others in planning actions,Delegates in a way that encourages others to have full ownership,Appropriately provides authority to others to make decisions,"Demonstrates accuracy, thoroughness and attention to detail in their work",Supports and demonstrates efficient management of personal stress levels,"Manages impending change, real or rumored, efficiently",Uses time constructively and efficiently,Helps people by listening without pre-judging,Has excellent relationships with MWSE team members regardless of position in the organization,Is accessible for communication,Encourages staff to communicate their differing opinions,Maintains a level of professionalism when handling difficult situations,Do you have any additional feedback?
,,,,,,,,,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Open-Ended Response
1.14385E+11,426890405,8/7/2023 13:20,8/7/2023 13:25,207.73.66.34,,,,,4,6,3,5,5,5,4,4,5,5,5,5,5,4,6,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,5,5,5,5,4,5,4,4,5,
1.14383E+11,426890405,8/4/2023 10:15,8/4/2023 11:20,75.213.137.68,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,"Misty has grown as Deputy Director, I believe she will continue to be better and build better trust within the organization. "
1.14381E+11,426890405,8/2/2023 8:22,8/2/2023 8:40,198.109.195.34,,,,,4,3,3,4,5,5,3,3,4,3,3,3,4,3,6,5,4,5,3,4,5,5,5,4,3,3,3,4,5,4,4,3,6,6,6,3,3,3,3,3,5,5,5,5,
1.14379E+11,426890405,7/31/2023 14:45,7/31/2023 14:50,198.109.180.114,,,,,1,1,3,1,3,1,1,2,1,1,2,2,1,2,1,1,2,2,1,1,1,1,1,1,1,1,2,3,3,2,3,1,6,2,1,3,1,1,1,1,1,1,1,1,
1.14378E+11,426890405,7/28/2023 16:34,7/28/2023 16:36,198.108.155.98,,,,,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,
1.14378E+11,426890405,7/28/2023 16:16,7/28/2023 16:30,198.108.155.98,,,,,3,3,3,3,3,6,3,3,3,3,6,3,3,6,6,3,3,3,6,6,6,3,6,6,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,3,6,"The survey questions aren't appropriate to the type of working relationship I have with either the Deputy Director or the Executive Director.  I also think that both are too fare removed from the day-to-day trench work that we do to make the questions applicable to how I view them personally, professionally, or their level of competence.  Both appear to be nice enough people."
1.14378E+11,426890405,7/28/2023 16:06,7/28/2023 16:09,207.73.66.34,,,,,4,3,6,6,6,6,6,6,6,6,6,6,3,6,6,4,6,6,6,3,6,6,3,3,3,6,6,3,3,3,4,3,3,6,6,6,6,3,6,6,3,6,6,6,
1.14378E+11,426890405,7/28/2023 8:45,7/28/2023 8:46,198.109.180.114,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
1.14377E+11,426890405,7/27/2023 10:56,7/27/2023 10:58,207.74.181.58,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
