Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Shows genuine concern for team members,Seeks input from team members,"Responds in a timely manner (emails, phone calls, etc.)","Treats people fairly, without showing favoritism",Protects confidentiality,Recognizes and rewards my individual contributions in a manner meaningful to me,"Supports a team environment by recognizing and rewarding collaboration, cooperation and activities contributing to others' success",Considers the impact of actions and decisions on others before implementing,Encourages others to express different ideas and perspectives,Is open to other perspectives and is willing to change their position when presented with compelling information,Open to negative and/or constructive feedback,Gives open and constructive feedback,Shows respect for others and their ideas,Lets me know how I am doing,Involves me in decision-making when appropriate,Sets a clear direction for our department/organization,Provides clear and consistent direction to me when I ask for guidance,"Encourages and supports my involvement in training and development activities, company activities and events",Allows for flexibility in how work is accomplished,Actions and behaviors are consistent with words,Is trustworthy,Creates an atmosphere of mutual trust,"Demonstrates honest, ethical behavior at all times",Is a role model for continuous improvement,Supports a customer service approach for both internal and external customers,Deals with issues that need to be addressed,"Provides a clear sense of purpose and direction, roles and responsibilities, for me individually and for our group team members",Communicates a clear vision with recognizable goals for the organization and staff,States expectations clearly and confirms understanding,Expects staff to be accountable and offers support,Translates organizational goals practically and meaningfully for staff at all levels of the organization,Makes and communicates decisions promptly,Involves others in planning actions,Delegates in a way that encourages others to have full ownership,Appropriately provides authority to others to make decisions,"Demonstrates accuracy, thoroughness and attention to detail in their work",Supports and demonstrates efficient management of personal stress levels,"Manages impending change, real or rumored, efficiently",Uses time constructively and efficiently,Helps people by listening without pre-judging,Has excellent relationships with MWSE team members regardless of position in the organization,Is accessible for communication,Encourages staff to communicate their differing opinions,Maintains a level of professionalism when handling difficult situations,Do you have any additional feedback?
,,,,,,,,,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Open-Ended Response
1.18389E+11,451986852,8/7/2023 13:26,8/7/2023 14:02,207.73.66.34,,,,,5,3,3,5,5,4,5,5,5,5,5,4,5,3,6,5,4,4,4,5,5,5,5,5,5,4,5,5,4,3,4,3,6,4,5,4,3,4,4,5,5,4,3,5,
1.18387E+11,451986852,8/4/2023 10:16,8/4/2023 11:27,75.213.137.68,,,,,4,4,3,4,5,3,4,4,3,4,3,3,5,3,3,5,4,4,4,5,5,5,5,5,4,5,4,5,5,4,4,4,4,4,4,4,4,5,5,4,5,5,5,5,"As Director of MWSE, Shamar has lead our organization in a positive direction and I believe his vision for MWSE will continue to help us achieve successful goals in the community."
1.18387E+11,451986852,8/4/2023 9:43,8/4/2023 9:50,198.108.155.98,,,,,5,4,3,5,5,3,5,4,5,5,5,4,4,4,4,5,5,5,4,4,4,3,4,5,5,3,4,4,5,4,5,4,4,5,5,4,4,5,4,5,4,5,5,5,
1.18387E+11,451986852,8/4/2023 9:10,8/4/2023 9:24,68.48.170.252,,,,,1,1,3,3,3,3,3,3,3,6,6,6,3,6,3,3,6,6,6,3,3,3,6,6,3,6,3,3,3,6,3,6,6,6,6,6,6,6,6,6,3,3,6,6,"I have not had many one on one dealings with Shamar but what i have, he has always shown strong leadership and i feel confident in his ability to lead MWSE in the right direction."
1.18385E+11,451986852,8/2/2023 8:30,8/2/2023 8:41,207.73.66.34,,,,,3,4,3,4,4,3,5,3,3,3,3,3,4,6,6,4,6,6,3,3,3,3,3,3,3,6,4,3,3,3,3,6,3,3,6,6,6,6,6,3,5,3,6,3,My memory of Shamar has always been the day he visited the Lenawee office and sat in the resource room and had conversations with customers. This was the case a few times he visited the office. A man of so many responsibilities and position and he does not sit behind a closed door rather he decides to sit in the resource room and talk with customers.  That speaks volumes of a leader in my opinion. 
1.18385E+11,451986852,8/2/2023 8:15,8/2/2023 8:41,198.109.195.34,,,,,5,3,6,5,5,5,5,4,5,3,3,4,5,4,6,5,6,4,3,4,5,5,5,5,5,4,4,5,4,4,4,3,6,3,6,3,5,5,3,5,5,5,5,4,
1.18384E+11,451986852,7/31/2023 14:50,7/31/2023 15:07,198.109.180.114,,,,,3,2,3,2,6,2,3,3,1,2,1,6,3,2,2,3,3,3,3,3,5,4,4,3,3,2,3,3,3,3,3,2,3,2,2,3,2,3,6,3,3,2,1,3,
1.18381E+11,451986852,7/28/2023 16:22,7/28/2023 16:33,198.108.155.98,,,,,4,4,3,3,3,3,4,3,,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"I appreciate the Executive Directors' eye to eye contact and what feels like to me, expressed concern about how I am doing, when communicating with me. With such a high stressed working environment, at times, it helps to be acknowledged about my well-being. "
1.18381E+11,451986852,7/28/2023 16:05,7/28/2023 16:14,198.108.155.98,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,3,6,3,6,6,6,3,3,3,4,3,6,3,3,3,3,3,3,6,6,6,6,6,6,6,3,3,3,6,"I don't interact with the Executive Director that much on a daily basis, so I can't provide the type of feedback required.  This seems geared more toward personal relationships, something I have more with my service center manager.  "
1.18381E+11,451986852,7/28/2023 16:03,7/28/2023 16:06,207.73.66.34,,,,,3,3,3,3,3,6,4,4,4,4,4,4,4,3,4,4,4,4,3,3,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,6,3,5,6,4,4,
1.18381E+11,451986852,7/28/2023 8:41,7/28/2023 8:45,198.109.180.114,,,,,4,4,2,3,4,3,4,3,3,4,3,4,4,4,3,3,3,3,3,3,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,4,3,4,4,
1.1838E+11,451986852,7/27/2023 10:52,7/27/2023 10:55,207.74.181.58,,,,,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"I believe that Shamar is a good leader but it is very clear that he has not done our job as a customer facing person.  He is very removed from what the ACTUAL work is that we do, he is only familiar with the administrative side."
1.1838E+11,451986852,7/27/2023 9:51,7/27/2023 9:53,198.108.155.98,,,,,3,3,3,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
1.1838E+11,451986852,7/27/2023 8:31,7/27/2023 8:36,207.73.66.34,,,,,4,4,4,4,6,4,4,6,4,6,4,6,4,6,6,3,6,3,6,5,4,4,4,4,4,6,3,3,3,4,3,6,6,6,6,6,6,6,6,6,5,4,3,6,
1.18379E+11,451986852,7/26/2023 13:19,7/26/2023 13:31,198.109.180.114,,,,,5,4,3,4,4,3,6,4,4,3,3,3,3,4,4,4,4,6,3,4,4,4,4,5,4,4,4,4,4,4,6,3,6,3,6,3,3,3,4,4,4,4,6,4,"overall, very satisfied. he is a great ""face"" for MWSE"
1.18379E+11,451986852,7/26/2023 12:04,7/26/2023 12:08,207.73.66.34,,,,,3,3,2,6,6,6,3,6,3,6,6,3,3,6,6,6,3,6,6,3,3,3,6,6,3,6,3,3,6,3,6,3,6,6,6,6,6,3,6,3,3,2,6,6,
1.18379E+11,451986852,7/26/2023 8:56,7/26/2023 10:17,198.108.155.98,,,,,3,3,2,2,2,2,3,2,2,6,6,2,2,2,2,3,2,3,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,2,3,3,3,3,2,2,2,3,2,"Not necessarily due to the director, but there is a general feeling here that our location in Washtenaw is seen as the 'trouble' location. I personally feel like this location has been ignored, comparatively, and a facility upgrade and update on the compensation is overdue. I know and see how hard people work here and we all do well beyond our duties and get recognized for ""30%"" of what we accomplish, which I understand is kind of the nature of the work. There are too few employees in most departments and there's no attempt at any sort of customer system intake process atomization, so the front desk associates are also doing more than they should and still would have more than enough to do without their current phone answering and intake responsibilities being automated. If the automation system could do the basic screenings and intake/document  collecting; career advisors would be free to career advise."
1.18379E+11,451986852,7/26/2023 9:15,7/26/2023 9:19,207.73.66.34,,,,,3,3,3,5,4,3,3,3,3,4,5,4,5,6,6,5,3,6,3,5,4,4,5,4,5,4,5,4,5,4,4,4,6,3,3,3,3,5,6,4,5,4,4,4,
1.18379E+11,451986852,7/26/2023 9:07,7/26/2023 9:10,207.74.181.58,,,,,3,4,3,4,6,6,4,5,4,6,6,6,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,6,6,6,6,6,6,6,6,4,4,6,6,
